,Marque,Modèle,Année-Modèle,Kilométrage,Type de carburant,Puissance fiscale,Boite de vitesses,Nombre de portes,Origine,Première main,État,Jantes aluminium,Airbags,Climatisation,Système de navigation/GPS,Toit ouvrant,Sièges cuir,Radar de recul,Caméra de recul,Vitres électriques,ABS,ESP,Régulateur de vitesse,Limiteur de vitesse,CD/MP3/Bluetooth,Ordinateur de bord,Verrouillage centralisé à distance,Prix
53,Hyundai,ix 35,2012,104999.5,Diesel,8,Manuelle,5,WW au Maroc,Non,Excellent,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,123000
54,Volkswagen,PASSAT CC,2014,194999.5,Diesel,8,Manuelle,5,WW au Maroc,Non,Excellent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155000
55,Volkswagen,GOLF 4,2001,114999.5,Diesel,8,Manuelle,5,Dédouanée,Non,Très bon,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,60600
56,Mercedes-Benz,Classe C,2004,224999.5,Diesel,9,Manuelle,5,Dédouanée,Non,Bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,108000
58,Peugeot,2008,2015,174999.5,Diesel,6,Manuelle,5,WW au Maroc,Non,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125000
59,Renault,Clio,2016,97499.5,Diesel,6,Manuelle,5,WW au Maroc,Non,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,98000
61,Renault,Clio,2019,27499.5,Diesel,6,Automatique,5,WW au Maroc,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,101000
63,Renault,Kangoo,2011,224999.5,Diesel,6,Manuelle,5,WW au Maroc,Non,Très bon,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,87000
64,Fiat,500,2009,114999.5,Diesel,6,Manuelle,3,WW au Maroc,Non,Très bon,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,78000
65,Volkswagen,Polo,2018,22499.5,Essence,6,Manuelle,5,WW au Maroc,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,145000
66,Renault,Megane 3,2016,82499.5,Diesel,6,Manuelle,5,WW au Maroc,Non,Excellent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115000
68,Dacia,Duster,2017,52499.5,Diesel,6,Manuelle,5,WW au Maroc,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,150000
70,Toyota,VERSO,2008,324999.5,Diesel,8,Manuelle,5,WW au Maroc,Non,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,72000
71,Citroen,C3,2014,194999.5,Diesel,6,Manuelle,5,WW au Maroc,Oui,Bon,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,75000
72,Renault,Megane 4,2017,174999.5,Diesel,6,Manuelle,5,WW au Maroc,Non,Très bon,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,140000
73,Hyundai,Elantra,2019,72499.5,Diesel,6,Automatique,5,WW au Maroc,Non,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,168000
74,Nissan,Qashqai,2015,124999.5,Diesel,6,Manuelle,5,WW au Maroc,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,155000
75,Volkswagen,GOLF 7,2015,174999.5,Diesel,6,Manuelle,5,WW au Maroc,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,148000
78,Mercedes-Benz,220,2001,12499.5,Diesel,11,Manuelle,5,Dédouanée,Non,Très bon,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90000
