,Marque,Modèle,Année-Modèle,Kilométrage,Type de carburant,Puissance fiscale,Boite de vitesses,Nombre de portes,Origine,Première main,État,Jantes aluminium,Airbags,Climatisation,Système de navigation/GPS,Toit ouvrant,Sièges cuir,Radar de recul,Caméra de recul,Vitres électriques,ABS,ESP,Régulateur de vitesse,Limiteur de vitesse,CD/MP3/Bluetooth,Ordinateur de bord,Verrouillage centralisé à distance,Prix
1107,Ford,Focus,2016,7499.5,Diesel,6,Manuelle,5,WW au Maroc,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,180000
1112,Volkswagen,Passat,2009,174999.5,Diesel,8,Manuelle,3,WW au Maroc,Non,Bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90300
1114,Kia,Carens,2008,22499.5,Diesel,8,Manuelle,5,WW au Maroc,Non,Très bon,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,70000
1116,Renault,Kangoo,2006,12499.5,Diesel,6,Manuelle,5,WW au Maroc,Non,Excellent,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,68000
1117,Dacia,Logan,2016,104999.5,Diesel,6,Manuelle,5,WW au Maroc,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,83000
1119,Hyundai,i 30,2012,174999.5,Diesel,6,Manuelle,5,WW au Maroc,Non,Excellent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115000
1121,Citroen,C4 Picasso,2009,62499.5,Diesel,6,Manuelle,5,WW au Maroc,Non,Très bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,70000
1123,Mercedes-Benz,220,1995,37499.5,Diesel,8,Manuelle,5,Dédouanée,Non,Très bon,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,60000
1124,BMW,Serie 1,2012,164999.5,Diesel,8,Automatique,5,WW au Maroc,Oui,Très bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,165000
1125,Mercedes-Benz,Vito,2017,12499.5,Diesel,9,Manuelle,5,WW au Maroc,Non,Très bon,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,245000
1126,Ford,Kuga,2016,104999.5,Diesel,8,Manuelle,5,WW au Maroc,Non,Excellent,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,170000
1127,Ford,Kuga,2016,104999.5,Diesel,8,Manuelle,5,WW au Maroc,Non,Excellent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170000
1130,Audi,A1,2011,164999.5,Essence,8,Automatique,3,Dédouanée,Non,Très bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,140000
1131,Nissan,NOTE,2016,114999.5,Diesel,6,Manuelle,5,WW au Maroc,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,97000
1132,Hyundai,Tucson,2009,194999.5,Essence,11,Manuelle,5,WW au Maroc,Non,Excellent,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,60000
1133,Volkswagen,Tiguan,2017,124999.5,Diesel,8,Automatique,5,Dédouanée,Non,Très bon,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,360000
1134,Renault,Clio,2017,124999.5,Diesel,6,Manuelle,5,WW au Maroc,Non,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,107000
1140,Volkswagen,Caddy,2015,114999.5,Diesel,6,Manuelle,5,WW au Maroc,Non,Très bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,143000
1141,Toyota,Prado,2011,224999.5,Diesel,12,Manuelle,5,WW au Maroc,Non,Bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,165000
1142,Renault,Kangoo,2016,154999.5,Diesel,6,Manuelle,5,WW au Maroc,Oui,Bon,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,118000
1143,Peugeot,Partner,2012,194999.5,Diesel,6,Manuelle,5,Importée neuve,Non,Très bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,95000
1144,Citroen,C4 Aircross,2019,77499.5,Diesel,6,Manuelle,5,Importée neuve,Non,Excellent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175000
1145,Mercedes-Benz,220,1996,37499.5,Diesel,9,Automatique,5,Dédouanée,Non,Très bon,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,65000
1146,Audi,Q3,2018,144999.5,Diesel,8,Automatique,5,WW au Maroc,Oui,Très bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,300000
1149,Land Rover,Range Rover Sport,2010,194999.5,Diesel,12,Automatique,5,WW au Maroc,Non,Très bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,146000
1150,Fiat,Punto,2014,274999.5,Diesel,5,Manuelle,5,WW au Maroc,Non,Bon,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65000
1151,Opel,Astra,2015,114999.5,Diesel,8,Automatique,5,Importée neuve,Non,Très bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,140000
1153,Volkswagen,Polo,2010,194999.5,Diesel,8,Manuelle,5,Dédouanée,Non,Excellent,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,85000
1155,Dacia,Dokker,2019,7499.5,Essence,6,Manuelle,5,Dédouanée,Non,Excellent,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,120000
1156,Toyota,Corolla,2006,194999.5,Essence,8,Manuelle,5,WW au Maroc,Oui,Excellent,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,63000
1157,Volkswagen,Golf,2007,22499.5,Diesel,8,Manuelle,5,Dédouanée,Oui,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103000
1159,Mercedes-Benz,Classe E,2014,174999.5,Diesel,9,Manuelle,5,WW au Maroc,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,175000
1160,Audi,A3,2017,104999.5,Diesel,6,Manuelle,5,Dédouanée,Oui,Très bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,300000
1161,Seat,Ibiza,2014,174999.5,Diesel,6,Manuelle,5,WW au Maroc,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,95000
1162,Audi,Q8,2020,7499.5,Diesel,12,Automatique,5,WW au Maroc,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,740000
1163,Skoda,Kodiaq,2019,57499.5,Diesel,8,Automatique,5,WW au Maroc,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,280000
1164,Mercedes-Benz,Classe E,2009,194999.5,Diesel,10,Automatique,5,WW au Maroc,Non,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133000
1167,Audi,A4,2003,2499.5,Diesel,8,Manuelle,5,Dédouanée,Non,Très bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,87000
1168,Volkswagen,Passat,2011,224999.5,Diesel,8,Manuelle,5,WW au Maroc,Oui,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125000
1170,Renault,Clio,2008,224999.5,Diesel,6,Manuelle,5,Dédouanée,Non,Très bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,72000
1171,Volkswagen,Caddy,2019,144999.5,Diesel,8,Manuelle,3,WW au Maroc,Non,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,150000
1172,Renault,Kangoo,2007,424999.5,Diesel,7,Manuelle,5,WW au Maroc,Non,Excellent,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,63000
1173,Audi,Q5,2017,104999.5,Diesel,8,Automatique,5,Dédouanée,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,535000
1174,Mercedes-Benz,Classe C,2012,174999.5,Diesel,8,Manuelle,5,WW au Maroc,Non,Très bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,149000
1175,Renault,Kangoo,2013,324999.5,Diesel,6,Manuelle,5,WW au Maroc,Non,Excellent,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,72000
1176,Volkswagen,Polo,2009,27499.5,Diesel,6,Manuelle,5,WW au Maroc,Non,Bon,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,75000
1177,Mercedes-Benz,Classe E,2002,324999.5,Diesel,8,Manuelle,5,Dédouanée,Oui,Très bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,87000
1178,Mercedes-Benz,220,2007,194999.5,Diesel,8,Automatique,5,Dédouanée,Oui,Très bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,128000
1179,Volkswagen,Passat,2006,324999.5,Diesel,8,Manuelle,5,WW au Maroc,Non,Bon,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80000
1180,Peugeot,Partner,2012,224999.5,Diesel,7,Manuelle,5,Importée neuve,Non,Excellent,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,71000
1181,Opel,Astra,2009,7499.5,Diesel,7,Manuelle,5,WW au Maroc,Non,Très bon,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,66000
1182,Volkswagen,GOLF 5,2004,324999.5,Diesel,8,Manuelle,5,Dédouanée,Non,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,80000
1183,Renault,Clio,2006,224999.5,Diesel,6,Manuelle,5,WW au Maroc,Non,Très bon,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,67000
1190,Peugeot,Bipper,2015,154999.5,Diesel,6,Manuelle,5,WW au Maroc,Non,Excellent,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,85000
1191,Fiat,Doblo,2014,144999.5,Diesel,5,Manuelle,5,WW au Maroc,Oui,Bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,71000
1193,Seat,Leon,2009,154999.5,Diesel,8,Manuelle,5,Dédouanée,Non,Très bon,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,100000
1196,Fiat,FIORINO,2018,82499.5,Diesel,5,Manuelle,5,WW au Maroc,Non,Excellent,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,92000
1197,BMW,Serie 3 coupé,2011,164999.5,Diesel,8,Automatique,3,WW au Maroc,Non,Très bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,145000
1199,Volkswagen,PASSAT CC,2009,274999.5,Diesel,8,Automatique,5,Importée neuve,Non,Excellent,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,122000
1200,Mercedes-Benz,190,1992,47499.5,Diesel,8,Manuelle,5,Dédouanée,Non,Très bon,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,70000
1204,Ford,Kuga,2011,124999.5,Diesel,8,Manuelle,5,WW au Maroc,Non,Très bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,112000
1205,Volkswagen,GOLF 7,2014,12499.5,Diesel,9,Manuelle,5,Dédouanée,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,185000
1208,Renault,Kangoo,2013,2499.5,Diesel,6,Manuelle,5,WW au Maroc,Oui,Excellent,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,86000
1209,Renault,Master,2018,52499.5,Diesel,8,Manuelle,5,WW au Maroc,Oui,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165000
1212,Audi,A6,2011,174999.5,Diesel,8,Automatique,5,WW au Maroc,Non,Bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160000
1213,Opel,Astra,2005,324999.5,Diesel,7,Manuelle,5,WW au Maroc,Non,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63000
1214,Volkswagen,GOLF 6,2009,224999.5,Diesel,8,Manuelle,5,Dédouanée,Non,Excellent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143000
1218,Renault,Clio,2014,154999.5,Diesel,6,Manuelle,5,WW au Maroc,Non,Très bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,103000
1219,Volkswagen,GOLF 5,2007,224999.5,Diesel,8,Manuelle,5,Dédouanée,Non,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,95000
1222,Ford,Kuga,2017,92499.5,Diesel,8,Manuelle,5,WW au Maroc,Oui,Très bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,175000
1223,Peugeot,206+,2011,194999.5,Essence,6,Manuelle,5,WW au Maroc,Non,Très bon,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,60000
1224,Volkswagen,GOLF 5,2008,194999.5,Diesel,8,Manuelle,5,Dédouanée,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,105000
1226,Land Rover,Range Rover Sport,2014,124999.5,Diesel,12,Automatique,5,Importée neuve,Oui,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390000
1227,Dacia,Dokker,2014,324999.5,Diesel,6,Manuelle,5,WW au Maroc,Non,Bon,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,100000
1229,Seat,Ibiza,2022,2499.5,Essence,6,Manuelle,5,WW au Maroc,Oui,Excellent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145000
1231,Citroen,C4,2011,184999.5,Diesel,6,Manuelle,5,WW au Maroc,Non,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95000
1232,BMW,Serie 5,2012,224999.5,Diesel,8,Automatique,5,WW au Maroc,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,190000
1233,Hyundai,ix 35,2012,164999.5,Diesel,8,Automatique,5,WW au Maroc,Non,Très bon,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,130000
1236,Renault,Grand Scenic,2005,2499.5,Diesel,6,Manuelle,5,WW au Maroc,Non,Excellent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68000
1237,BMW,Serie 4 gran coupé,2018,114999.5,Diesel,8,Automatique,5,WW au Maroc,Non,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275000
1240,Renault,Clio,2020,32499.5,Diesel,6,Manuelle,5,WW au Maroc,Oui,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120700
1241,Peugeot,Tepee,2012,164999.5,Essence,6,Manuelle,5,WW au Maroc,Oui,Excellent,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,82000
1242,Seat,Leon,2017,114999.5,Diesel,6,Manuelle,5,WW au Maroc,Oui,Excellent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147000
1243,Peugeot,Tepee,2017,62499.5,Diesel,6,Manuelle,5,Importée neuve,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,135000
1244,Dacia,Dokker,2017,154999.5,Diesel,6,Manuelle,5,WW au Maroc,Oui,Très bon,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,106000
1245,Renault,Kangoo,2012,224999.5,Diesel,6,Manuelle,5,WW au Maroc,Non,Bon,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,80000
1246,Volkswagen,GOLF 7,2013,184999.5,Diesel,6,Manuelle,5,Dédouanée,Non,Excellent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147000
1247,Volkswagen,Jetta,2010,274999.5,Diesel,8,Manuelle,5,Importée neuve,Non,Très bon,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,110000
1248,Volkswagen,GOLF 6,2010,224999.5,Diesel,6,Manuelle,5,Dédouanée,Non,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119000
1249,Audi,Q7,2019,67499.5,Diesel,12,Automatique,5,WW au Maroc,Non,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,510000
1250,Citroen,C4,2015,114999.5,Diesel,6,Manuelle,5,WW au Maroc,Non,Bon,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108000
1252,Mercedes-Benz,Classe C,2007,184999.5,Diesel,8,Automatique,5,Dédouanée,Non,Bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,132000
1253,Peugeot,208,2018,92499.5,Diesel,7,Manuelle,5,WW au Maroc,Non,Très bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,110000
1255,Volkswagen,Polo,2021,12499.5,Essence,6,Manuelle,5,WW au Maroc,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,160000
1257,Citroen,Jumper,2000,2499.5,Diesel,8,Manuelle,5,WW au Maroc,Non,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65000
1258,Mercedes-Benz,Classe C,2009,224999.5,Diesel,9,Automatique,5,WW au Maroc,Non,Très bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,123000
1259,Mercedes-Benz,Classe C,2005,27499.5,Diesel,8,Automatique,5,Dédouanée,Non,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130000
1260,Nissan,Qashqai,2021,2499.5,Diesel,6,Automatique,5,WW au Maroc,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,275000
1261,Audi,A4,2010,224999.5,Diesel,8,Automatique,5,Dédouanée,Non,Très bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,165000
1262,Mercedes-Benz,CLASSE ML,2007,194999.5,Diesel,6,Automatique,5,Dédouanée,Non,Excellent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120000
1263,Renault,Kangoo,2016,144999.5,Diesel,6,Manuelle,5,WW au Maroc,Oui,Très bon,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,108000
1264,Hyundai,Santa Fe,2013,124999.5,Diesel,8,Manuelle,5,WW au Maroc,Non,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,160000
1265,Peugeot,205,2005,67499.5,Diesel,8,Automatique,5,WW au Maroc,Non,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,60000
1266,Skoda,Octavia,2017,194999.5,Diesel,8,Manuelle,5,WW au Maroc,Non,Excellent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168000
1267,Audi,Q5,2016,114999.5,Diesel,8,Automatique,5,Dédouanée,Non,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,370000
1268,Peugeot,208,2019,104999.5,Diesel,6,Manuelle,5,WW au Maroc,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,133000
1271,Hyundai,Accent,2014,174999.5,Diesel,6,Manuelle,5,WW au Maroc,Non,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,93000
1272,Audi,Q7,2008,194999.5,Diesel,12,Automatique,5,Importée neuve,Oui,Très bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,197000
1274,Seat,Leon,2009,224999.5,Diesel,8,Automatique,5,Dédouanée,Non,Très bon,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,85000
1275,Audi,A5,2017,7499.5,Diesel,8,Automatique,5,Pas encore dédouanée,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,310000
1276,Renault,Kangoo,2010,7499.5,Diesel,6,Manuelle,5,WW au Maroc,Non,Excellent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,83000
1277,Citroen,C3,2019,97499.5,Diesel,6,Manuelle,5,WW au Maroc,Non,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,129000
1279,Volkswagen,PASSAT CC,2017,194999.5,Diesel,8,Automatique,5,WW au Maroc,Oui,Excellent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215000
1280,Mercedes-Benz,220,2001,32499.5,Diesel,9,Automatique,5,Dédouanée,Non,Bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,66000
1281,Volkswagen,PASSAT CC,2015,154999.5,Diesel,8,Manuelle,5,WW au Maroc,Non,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,160000
1282,Renault,Clio,2016,104999.5,Diesel,7,Manuelle,5,WW au Maroc,Non,Très bon,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,90000
1283,Volkswagen,GOLF 4,1999,22499.5,Diesel,8,Manuelle,5,Dédouanée,Non,Excellent,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,68000
1285,Audi,A4,2017,154999.5,Diesel,8,Automatique,5,Dédouanée,Oui,Très bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,259000
1287,Dacia,Logan,2010,194999.5,Diesel,6,Manuelle,5,WW au Maroc,Non,Très bon,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,67000
1288,Volkswagen,GOLF 7,2018,7499.5,Diesel,9,Automatique,5,Dédouanée,Oui,Très bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,330000
1291,Renault,Megane,2005,224999.5,Diesel,6,Manuelle,5,WW au Maroc,Non,Très bon,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,63000
1292,Citroen,Berlingo,2016,274999.5,Diesel,7,Manuelle,5,WW au Maroc,Non,Excellent,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,112000
1296,Peugeot,308,2011,174999.5,Diesel,6,Manuelle,5,Importée neuve,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,95000
1297,Renault,Kangoo,2018,82499.5,Diesel,6,Manuelle,5,WW au Maroc,Oui,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120000
1299,Renault,Kangoo,2009,224999.5,Diesel,6,Manuelle,5,WW au Maroc,Non,Très bon,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,66000
1300,Dacia,Dokker,2017,97499.5,Diesel,6,Manuelle,5,WW au Maroc,Non,Très bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,110000
1301,Land Rover,Range Rover Evoque,2019,57499.5,Diesel,8,Automatique,5,WW au Maroc,Oui,Excellent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355000
1302,Ford,Mustang,2019,47499.5,Essence,13,Automatique,3,Dédouanée,Oui,Excellent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370000
1303,Renault,Kangoo,2016,174999.5,Essence,6,Manuelle,5,WW au Maroc,Non,Excellent,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,125000
1305,Ford,Kuga,2011,224999.5,Diesel,8,Manuelle,5,WW au Maroc,Non,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,116000
1306,Hyundai,Santa Fe,2017,104999.5,Diesel,9,Automatique,5,WW au Maroc,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,255000
1308,Land Rover,Freelander,2003,62499.5,Diesel,8,Automatique,5,WW au Maroc,Non,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,75000
1309,Volkswagen,Polo,2007,274999.5,Diesel,8,Manuelle,5,WW au Maroc,Non,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63000
1311,Skoda,RAPID,2014,144999.5,Diesel,6,Manuelle,5,WW au Maroc,Oui,Très bon,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,113000
1314,Renault,Megane,2014,92499.5,Diesel,6,Automatique,5,WW au Maroc,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,120000
1315,Ford,Focus,2007,224999.5,Diesel,7,Manuelle,5,WW au Maroc,Non,Bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,77000
1316,Volkswagen,PASSAT CC,2015,144999.5,Diesel,8,Manuelle,5,WW au Maroc,Non,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,161000
1318,Nissan,Micra,2019,124999.5,Diesel,6,Manuelle,5,WW au Maroc,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,120000
1319,Renault,Fluence,2016,2499.5,Diesel,6,Automatique,5,WW au Maroc,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,140000
1320,Dacia,Dokker,2017,114999.5,Diesel,6,Manuelle,5,WW au Maroc,Oui,Très bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,112000
1321,BMW,X3,2009,154999.5,Diesel,8,Automatique,5,WW au Maroc,Non,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105000
1323,Dacia,Dokker,2017,124999.5,Diesel,6,Manuelle,5,WW au Maroc,Oui,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75000
1324,Peugeot,Partner,2009,12499.5,Diesel,7,Manuelle,5,WW au Maroc,Non,Excellent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,65000
1326,Peugeot,3008,2018,72499.5,Diesel,7,Automatique,5,WW au Maroc,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,210000
1327,Mercedes-Benz,Classe B,2009,114999.5,Diesel,8,Manuelle,5,WW au Maroc,Non,Bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86000
1330,Mercedes-Benz,CITAN,2018,124999.5,Diesel,6,Manuelle,5,WW au Maroc,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,160000
1331,Mercedes-Benz,250,1997,324999.5,Diesel,10,Manuelle,5,Dédouanée,Non,Très bon,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,63000
1332,Dacia,Dokker,2015,154999.5,Diesel,6,Manuelle,5,WW au Maroc,Non,Très bon,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,92000
1334,Land Rover,Range Rover Evoque,2013,154999.5,Diesel,9,Automatique,5,WW au Maroc,Non,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,237000
1335,Hyundai,Tucson,2018,87499.5,Diesel,7,Manuelle,5,WW au Maroc,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,235000
1336,Hyundai,Accent,2019,17499.5,Diesel,6,Automatique,5,WW au Maroc,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,163000
1337,Dacia,Logan,2015,52499.5,Diesel,6,Manuelle,5,WW au Maroc,Oui,Excellent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97000
1338,Citroen,C4 CACTUS,2021,52499.5,Diesel,6,Automatique,5,WW au Maroc,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,185000
1339,Hyundai,Accent,2012,17499.5,Diesel,6,Manuelle,5,WW au Maroc,Non,Très bon,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,90000
1340,Toyota,Yaris,2009,47499.5,Essence,6,Manuelle,5,WW au Maroc,Non,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,68000
1342,Renault,Clio,2014,17499.5,Diesel,6,Automatique,5,WW au Maroc,Non,Très bon,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,107000
1345,Fiat,Doblo,2016,144999.5,Diesel,6,Manuelle,5,WW au Maroc,Non,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95000
1347,Citroen,Berlingo,2014,224999.5,Diesel,6,Manuelle,5,Importée neuve,Non,Très bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,125000
